DP execution time (ns),Heuristic execution time (ns),DP solution,Heuristic solution,DP memory usage (bytes),Heuristic memory usage (bytes),Solutions are the same
152045504,437908,42778,42778,40028004,16000,Yes
149213682,434561,41081,41078,40028004,16000,No
150393201,438419,42013,42013,40028004,16000,Yes
149686495,434952,42687,42674,40028004,16000,No
149459647,439440,41962,41957,40028004,16000,No
149271131,434190,41134,41131,40028004,16000,No
149102683,441083,41986,41984,40028004,16000,No
151655497,431386,40599,40595,40028004,16000,No
150383994,431796,44553,44546,40028004,16000,No
149111600,433980,40891,40874,40028004,16000,No
149609981,424844,42821,42819,40028004,16000,No
149225976,446253,42215,42210,40028004,16000,No
149474054,439020,41647,41647,40028004,16000,Yes
150363535,433469,42511,42501,40028004,16000,No
150936428,428028,40633,40633,40028004,16000,Yes
149722374,435844,40838,40834,40028004,16000,No
149366030,437086,44195,44193,40028004,16000,No
149820089,439330,42343,42339,40028004,16000,No
149967397,436635,43037,43036,40028004,16000,No
150550439,431465,42342,42332,40028004,16000,No
150634779,435403,45511,45506,40028004,16000,No
149859373,437477,43639,43630,40028004,16000,No
149474276,432668,41924,41921,40028004,16000,No
150850857,436214,39733,39733,40028004,16000,Yes
151118774,440443,42786,42783,40028004,16000,No
149707005,431435,41193,41188,40028004,16000,No
149583062,434201,39967,39963,40028004,16000,No
150142669,442316,42125,42121,40028004,16000,No
150749796,440893,42607,42596,40028004,16000,No
150852521,430373,40873,40873,40028004,16000,Yes
150334502,426416,43482,43477,40028004,16000,No
149730531,436525,41684,41681,40028004,16000,No
150313312,428049,43467,43463,40028004,16000,No
150859413,452335,42293,42285,40028004,16000,No
151191181,437618,40792,40782,40028004,16000,No
151088998,437166,41250,41245,40028004,16000,No
149699382,434411,41053,41053,40028004,16000,Yes
148537706,432367,41401,41400,40028004,16000,No
150524751,432848,42863,42863,40028004,16000,Yes
148831171,442767,42209,42209,40028004,16000,Yes
150368406,445482,42087,42075,40028004,16000,No
149331026,432037,42673,42673,40028004,16000,Yes
150150234,436855,41724,41719,40028004,16000,No
149785906,436555,40779,40767,40028004,16000,No
149417449,433600,41207,41200,40028004,16000,No
148911553,426967,39015,39008,40028004,16000,No
149350512,441464,42318,42311,40028004,16000,No
149799782,427739,41448,41448,40028004,16000,Yes
149016351,446755,40861,40856,40028004,16000,No
149208384,435082,42042,42031,40028004,16000,No
150587601,439841,40653,40647,40028004,16000,No
151005942,431876,39413,39413,40028004,16000,Yes
150060775,440152,40442,40432,40028004,16000,No
151983689,431386,42555,42548,40028004,16000,No
150246457,427188,40826,40826,40028004,16000,Yes
154353939,432888,43622,43616,40028004,16000,No
160170763,445422,43117,43116,40028004,16000,No
155198055,436776,40973,40972,40028004,16000,No
152295499,431626,40880,40877,40028004,16000,No
151643978,432988,43378,43374,40028004,16000,No
151163540,431255,41470,41462,40028004,16000,No
151125348,435273,41367,41355,40028004,16000,No
150040407,427718,45240,45225,40028004,16000,No
150003167,431335,40709,40705,40028004,16000,No
149724200,427247,41853,41845,40028004,16000,No
148987848,441564,40163,40147,40028004,16000,No
149762182,430043,39021,39009,40028004,16000,No
149665679,427619,42961,42961,40028004,16000,Yes
153602721,427618,40821,40810,40028004,16000,No
151813859,433990,40221,40221,40028004,16000,Yes
150213114,428980,43198,43190,40028004,16000,No
149098728,429882,41204,41195,40028004,16000,No
150942673,434671,40440,40437,40028004,16000,No
150329705,432899,44180,44177,40028004,16000,No
149199558,429501,39747,39738,40028004,16000,No
148816535,437988,41366,41364,40028004,16000,No
151204788,429522,42444,42432,40028004,16000,No
152870918,434892,43320,43312,40028004,16000,No
150227712,429922,41944,41944,40028004,16000,Yes
149811004,448257,40781,40771,40028004,16000,No
150334694,430544,41907,41903,40028004,16000,No
150769166,439560,43195,43195,40028004,16000,Yes
149498394,433470,41953,41951,40028004,16000,No
150483926,435984,40582,40582,40028004,16000,Yes
149136169,438669,40783,40776,40028004,16000,No
148758756,430454,42153,42149,40028004,16000,No
149291683,434401,39054,39046,40028004,16000,No
148961900,428630,40442,40442,40028004,16000,Yes
149303986,436505,41394,41391,40028004,16000,No
149108007,438649,41084,41084,40028004,16000,Yes
149587393,429762,41109,41100,40028004,16000,No
149175464,426406,40345,40344,40028004,16000,No
149131761,431927,42007,42001,40028004,16000,No
149947743,447696,41235,41224,40028004,16000,No
149879635,430864,40437,40436,40028004,16000,No
148621727,429591,41977,41965,40028004,16000,No
149117865,435172,41030,41018,40028004,16000,No
149334134,434611,40354,40354,40028004,16000,Yes
149557977,433730,42479,42471,40028004,16000,No
150162019,434882,43216,43209,40028004,16000,No
151372026,443428,41192,41181,40028004,16000,No
150165976,427508,42647,42645,40028004,16000,No
151752555,439591,41735,41717,40028004,16000,No
151343843,431586,40781,40777,40028004,16000,No
149944909,435884,40267,40257,40028004,16000,No
152754328,458978,42595,42583,40028004,16000,No
151763015,429020,40666,40646,40028004,16000,No
151247981,440242,42630,42630,40028004,16000,Yes
149957312,433599,41334,41326,40028004,16000,No
150322172,437938,39953,39952,40028004,16000,No
150045870,432207,40893,40893,40028004,16000,Yes
151508834,441494,43968,43960,40028004,16000,No
151243864,444259,41588,41586,40028004,16000,No
150751714,427969,43104,43097,40028004,16000,No
150673687,439070,43538,43526,40028004,16000,No
149857655,434922,41190,41181,40028004,16000,No
150370924,432517,42116,42115,40028004,16000,No
149947424,434572,41511,41498,40028004,16000,No
150986738,435623,41993,41982,40028004,16000,No
150037164,424482,41386,41382,40028004,16000,No
149763145,432317,40692,40692,40028004,16000,Yes
149558980,431756,41248,41248,40028004,16000,Yes
150364512,443659,44016,44003,40028004,16000,No
149989194,440132,41947,41947,40028004,16000,Yes
