DP execution time (ns),Heuristic execution time (ns),DP solution,Heuristic solution,DP memory usage (bytes),Heuristic memory usage (bytes),Solutions are the same
764389954,1206817,262550,262461,200060004,40000,No
756214287,1211165,262063,262010,200060004,40000,No
763974514,1238135,254883,254845,200060004,40000,No
757741271,1199753,264342,264269,200060004,40000,No
754446205,1234769,241072,241024,200060004,40000,No
781234620,1224429,261084,261084,200060004,40000,Yes
765962274,1234368,256438,256424,200060004,40000,No
761498865,1222877,245942,245839,200060004,40000,No
756378490,1212357,256287,256235,200060004,40000,No
785422832,1199352,264087,264069,200060004,40000,No
756800545,1214571,250207,250174,200060004,40000,No
761396448,1209361,256499,256453,200060004,40000,No
761106126,1208961,256170,256170,200060004,40000,Yes
754984432,1210013,265302,265302,200060004,40000,Yes
754489719,1243155,264019,263999,200060004,40000,No
764792342,1264525,264571,264535,200060004,40000,No
767012073,1216635,247617,247605,200060004,40000,No
761408933,1200916,251167,251147,200060004,40000,No
751834066,1607319,264513,264472,200060004,40000,No
750664372,1206235,256815,256805,200060004,40000,No
754097060,1203761,241931,241903,200060004,40000,No
752503160,1197119,253996,253921,200060004,40000,No
752808810,1221254,240051,240048,200060004,40000,No
755458369,1198551,256508,256478,200060004,40000,No
759298195,1202840,256874,256847,200060004,40000,No
761238853,1220473,259115,259065,200060004,40000,No
755318067,1207108,238763,238753,200060004,40000,No
754843619,1202018,258552,258530,200060004,40000,No
752725011,1201006,252962,252910,200060004,40000,No
761654497,1225933,263053,262990,200060004,40000,No
756942150,1218098,237740,237717,200060004,40000,No
751633312,1198150,253499,253495,200060004,40000,No
757676827,1211104,250118,250097,200060004,40000,No
765197205,1210624,255112,255112,200060004,40000,Yes
751707920,1212037,249027,248973,200060004,40000,No
774716418,1240220,248009,248002,200060004,40000,No
760932607,1208350,259514,259479,200060004,40000,No
757463432,1247674,269567,269539,200060004,40000,No
750366111,1215032,277410,277383,200060004,40000,No
751006671,1199944,273065,273045,200060004,40000,No
755434662,1221325,264460,264426,200060004,40000,No
755024192,1218730,268604,268602,200060004,40000,No
753028264,1204463,258166,258136,200060004,40000,No
752085290,1217578,253303,253293,200060004,40000,No
752742946,1229650,269288,269265,200060004,40000,No
753253528,1193322,245704,245689,200060004,40000,No
752298676,1211196,265957,265908,200060004,40000,No
753351620,1200526,257139,257100,200060004,40000,No
751622183,1204303,254971,254962,200060004,40000,No
757410039,1195346,249243,249224,200060004,40000,No
