DP execution time (ns),Heuristic execution time (ns),DP solution,Heuristic solution,DP memory usage (bytes),Heuristic memory usage (bytes),Solutions are the same
38003588,7745,2415,2415,10200204,400,Yes
37245406,6953,2385,2385,10200204,400,Yes
36900790,7143,2515,2515,10200204,400,Yes
37690283,7785,2226,2226,10200204,400,Yes
37305651,6402,2308,2308,10200204,400,Yes
37107734,7394,2490,2490,10200204,400,Yes
37246628,6923,2530,2530,10200204,400,Yes
37821562,7034,2163,2163,10200204,400,Yes
37143842,6622,2275,2275,10200204,400,Yes
36963589,6632,2660,2660,10200204,400,Yes
37807335,6652,2799,2799,10200204,400,Yes
37174290,6623,2441,2441,10200204,400,Yes
37622191,8226,3009,3009,10200204,400,Yes
37378048,7054,2661,2661,10200204,400,Yes
37177586,7013,2536,2536,10200204,400,Yes
37981425,6403,2580,2580,10200204,400,Yes
37887888,8165,2773,2773,10200204,400,Yes
37665444,7364,2315,2315,10200204,400,Yes
36984389,6753,2237,2237,10200204,400,Yes
37145856,6732,2779,2779,10200204,400,Yes
36977876,7073,2782,2782,10200204,400,Yes
37090861,6713,2469,2469,10200204,400,Yes
37126588,6782,2530,2530,10200204,400,Yes
37911502,6732,2780,2780,10200204,400,Yes
37959794,7875,2852,2852,10200204,400,Yes
37922243,7244,2221,2221,10200204,400,Yes
37610419,6813,2445,2445,10200204,400,Yes
37026668,6733,2475,2475,10200204,400,Yes
36993166,6793,2339,2339,10200204,400,Yes
36957427,6913,2412,2412,10200204,400,Yes
37540777,6843,2197,2197,10200204,400,Yes
38277979,8957,2845,2845,10200204,400,Yes
38188789,7344,2549,2549,10200204,400,Yes
38295493,7234,2481,2481,10200204,400,Yes
38161638,7725,2258,2258,10200204,400,Yes
37370684,7414,2907,2907,10200204,400,Yes
38204409,7775,2259,2259,10200204,400,Yes
37089688,7214,2728,2728,10200204,400,Yes
37645185,8366,2470,2470,10200204,400,Yes
37315608,7655,2663,2663,10200204,400,Yes
37137258,7434,2594,2594,10200204,400,Yes
37223202,7644,2713,2713,10200204,400,Yes
37091282,7043,2561,2561,10200204,400,Yes
37089739,7023,2279,2279,10200204,400,Yes
37011439,7454,2712,2712,10200204,400,Yes
36908854,6723,2627,2627,10200204,400,Yes
37123322,7384,2187,2187,10200204,400,Yes
37078607,7334,2758,2758,10200204,400,Yes
37169379,7234,2420,2420,10200204,400,Yes
36960963,7625,2385,2385,10200204,400,Yes
37103204,7354,2340,2340,10200204,400,Yes
37162867,7434,2523,2523,10200204,400,Yes
37003384,6803,2543,2543,10200204,400,Yes
37099256,7945,2579,2579,10200204,400,Yes
37327781,7444,2501,2501,10200204,400,Yes
36975421,6572,2497,2497,10200204,400,Yes
37086011,7133,2639,2639,10200204,400,Yes
37670893,7073,2819,2819,10200204,400,Yes
37647098,10540,2382,2382,10200204,400,Yes
38265776,7825,2561,2561,10200204,400,Yes
39431964,7454,2543,2543,10200204,400,Yes
37824045,7464,2555,2555,10200204,400,Yes
39960540,8035,2641,2641,10200204,400,Yes
38372518,7564,2610,2610,10200204,400,Yes
37732610,8176,2330,2330,10200204,400,Yes
39156699,8706,2424,2424,10200204,400,Yes
38276305,8547,2383,2383,10200204,400,Yes
38696083,8617,2513,2513,10200204,400,Yes
38671937,7925,2216,2216,10200204,400,Yes
